seatId,floor,zone,x,y,status
S2-S001,Second Floor,Top Study Tables,90,100,available
S2-S002,Second Floor,Top Study Tables,145,100,available
S2-S003,Second Floor,Top Study Tables,200,100,available
S2-S004,Second Floor,Top Study Tables,255,100,available
S2-S005,Second Floor,Top Study Tables,310,100,available
S2-S006,Second Floor,Top Study Tables,90,155,available
S2-S007,Second Floor,Top Study Tables,145,155,available
S2-S008,Second Floor,Top Study Tables,200,155,available
S2-S009,Second Floor,Top Study Tables,255,155,available
S2-S010,Second Floor,Top Study Tables,310,155,available
S2-S011,Second Floor,Top Study Tables,90,210,available
S2-S012,Second Floor,Top Study Tables,145,210,available
S2-S013,Second Floor,Top Study Tables,200,210,available
S2-S014,Second Floor,Top Study Tables,255,210,available
S2-S015,Second Floor,Top Study Tables,310,210,available
S2-S016,Second Floor,Top Study Tables,90,265,available
S2-S017,Second Floor,Top Study Tables,145,265,available
S2-S018,Second Floor,Top Study Tables,200,265,available
S2-S019,Second Floor,Top Study Tables,255,265,available
S2-S020,Second Floor,Top Study Tables,310,265,available
S2-S021,Second Floor,Middle Reading Zone,360,160,available
S2-S022,Second Floor,Middle Reading Zone,393,160,available
S2-S023,Second Floor,Middle Reading Zone,426,160,available
S2-S024,Second Floor,Middle Reading Zone,459,160,available
S2-S025,Second Floor,Middle Reading Zone,492,160,available
S2-S026,Second Floor,Middle Reading Zone,525,160,available
S2-S027,Second Floor,Middle Reading Zone,360,193,available
S2-S028,Second Floor,Middle Reading Zone,393,193,available
S2-S029,Second Floor,Middle Reading Zone,426,193,available
S2-S030,Second Floor,Middle Reading Zone,459,193,available
S2-S031,Second Floor,Middle Reading Zone,492,193,available
S2-S032,Second Floor,Middle Reading Zone,525,193,available
S2-S033,Second Floor,Middle Reading Zone,360,226,available
S2-S034,Second Floor,Middle Reading Zone,393,226,available
S2-S035,Second Floor,Middle Reading Zone,426,226,available
S2-S036,Second Floor,Middle Reading Zone,459,226,available
S2-S037,Second Floor,Middle Reading Zone,492,226,available
S2-S038,Second Floor,Middle Reading Zone,525,226,available
S2-S039,Second Floor,Middle Reading Zone,360,259,available
S2-S040,Second Floor,Middle Reading Zone,393,259,available
S2-S041,Second Floor,Middle Reading Zone,426,259,available
S2-S042,Second Floor,Middle Reading Zone,459,259,available
S2-S043,Second Floor,Middle Reading Zone,492,259,available
S2-S044,Second Floor,Middle Reading Zone,525,259,available
S2-S045,Second Floor,Middle Reading Zone,360,292,available
S2-S046,Second Floor,Middle Reading Zone,393,292,available
S2-S047,Second Floor,Middle Reading Zone,426,292,available
S2-S048,Second Floor,Middle Reading Zone,459,292,available
S2-S049,Second Floor,Middle Reading Zone,492,292,available
S2-S050,Second Floor,Middle Reading Zone,525,292,available
S2-S051,Second Floor,Middle Reading Zone,360,325,available
S2-S052,Second Floor,Middle Reading Zone,393,325,available
S2-S053,Second Floor,Middle Reading Zone,426,325,available
S2-S054,Second Floor,Middle Reading Zone,459,325,available
S2-S055,Second Floor,Bottom Computer Zone,230,440,available
S2-S056,Second Floor,Bottom Computer Zone,280,440,available
S2-S057,Second Floor,Bottom Computer Zone,330,440,available
S2-S058,Second Floor,Bottom Computer Zone,380,440,available
S2-S059,Second Floor,Bottom Computer Zone,430,440,available
S2-S060,Second Floor,Bottom Computer Zone,480,440,available
S2-S061,Second Floor,Bottom Computer Zone,230,480,available
S2-S062,Second Floor,Bottom Computer Zone,280,480,available
S2-S063,Second Floor,Bottom Computer Zone,330,480,available
S2-S064,Second Floor,Bottom Computer Zone,380,480,available
S2-S065,Second Floor,Bottom Computer Zone,430,480,available
S2-S066,Second Floor,Bottom Computer Zone,480,480,available
S2-S067,Second Floor,Right Discussion Area,700,130,available
S2-S068,Second Floor,Right Discussion Area,745,130,available
S2-S069,Second Floor,Right Discussion Area,790,130,available
S2-S070,Second Floor,Right Discussion Area,700,175,available
S2-S071,Second Floor,Right Discussion Area,745,175,available
S2-S072,Second Floor,Right Discussion Area,790,175,available
