seatId,floor,zone,x,y,status
T3-S001,Third Floor,Reading Zone,60,80,available
T3-S002,Third Floor,Reading Zone,140,80,available
T3-S003,Third Floor,Reading Zone,220,80,available
T3-S004,Third Floor,Reading Zone,300,80,available
T3-S005,Third Floor,Reading Zone,380,80,available
T3-S006,Third Floor,Reading Zone,460,80,available
T3-S007,Third Floor,Reading Zone,60,150,available
T3-S008,Third Floor,Reading Zone,140,150,available
T3-S009,Third Floor,Reading Zone,220,150,available
T3-S010,Third Floor,Reading Zone,300,150,available
T3-S011,Third Floor,Reading Zone,380,150,available
T3-S012,Third Floor,Reading Zone,460,150,available
T3-S013,Third Floor,Reading Zone,60,220,available
T3-S014,Third Floor,Reading Zone,140,220,available
T3-S015,Third Floor,Reading Zone,220,220,available
T3-S016,Third Floor,Reading Zone,300,220,available
T3-S017,Third Floor,Reading Zone,380,220,available
T3-S018,Third Floor,Reading Zone,460,220,available
T3-S019,Third Floor,Reading Zone,60,290,available
T3-S020,Third Floor,Reading Zone,140,290,available
T3-S021,Third Floor,Reading Zone,220,290,available
T3-S022,Third Floor,Reading Zone,300,290,available
T3-S023,Third Floor,Reading Zone,380,290,available
T3-S024,Third Floor,Reading Zone,460,290,available
T3-S025,Third Floor,Group Study,60,370,available
T3-S026,Third Floor,Group Study,140,370,available
T3-S027,Third Floor,Group Study,220,370,available
T3-S028,Third Floor,Group Study,300,370,available
T3-S029,Third Floor,Group Study,380,370,available
T3-S030,Third Floor,Group Study,460,370,available
T3-S031,Third Floor,Group Study,60,440,available
T3-S032,Third Floor,Group Study,140,440,available
T3-S033,Third Floor,Group Study,220,440,available
T3-S034,Third Floor,Group Study,300,440,available
T3-S035,Third Floor,Group Study,380,440,available
T3-S036,Third Floor,Group Study,460,440,available
T3-S037,Third Floor,Group Study,60,510,available
T3-S038,Third Floor,Group Study,140,510,available
T3-S039,Third Floor,Group Study,220,510,available
T3-S040,Third Floor,Group Study,300,510,available
T3-S041,Third Floor,Group Study,380,510,available
T3-S042,Third Floor,Group Study,460,510,available
T3-S043,Third Floor,Group Study,60,580,available
T3-S044,Third Floor,Group Study,140,580,available
T3-S045,Third Floor,Group Study,220,580,available
T3-S046,Third Floor,Group Study,300,580,available
T3-S047,Third Floor,Group Study,380,580,available
T3-S048,Third Floor,Group Study,460,580,available
T3-S049,Third Floor,PC Zone,60,660,available
T3-S050,Third Floor,PC Zone,140,660,available
T3-S051,Third Floor,PC Zone,220,660,available
T3-S052,Third Floor,PC Zone,300,660,available
T3-S053,Third Floor,PC Zone,380,660,available
T3-S054,Third Floor,PC Zone,460,660,available
T3-S055,Third Floor,PC Zone,60,730,available
T3-S056,Third Floor,PC Zone,140,730,available
T3-S057,Third Floor,PC Zone,220,730,available
T3-S058,Third Floor,PC Zone,300,730,available
T3-S059,Third Floor,PC Zone,380,730,available
T3-S060,Third Floor,PC Zone,460,730,available
T3-S061,Third Floor,PC Zone,60,800,available
T3-S062,Third Floor,PC Zone,140,800,available
T3-S063,Third Floor,PC Zone,220,800,available
T3-S064,Third Floor,PC Zone,300,800,available
T3-S065,Third Floor,PC Zone,380,800,available
T3-S066,Third Floor,PC Zone,460,800,available
T3-S067,Third Floor,PC Zone,60,870,available
T3-S068,Third Floor,PC Zone,140,870,available
T3-S069,Third Floor,PC Zone,220,870,available
T3-S070,Third Floor,PC Zone,300,870,available
T3-S071,Third Floor,PC Zone,380,870,available
T3-S072,Third Floor,PC Zone,460,870,available
